standard_span,dialect_span,category,n_occurrences,delta_nll_swap_mean,delta_nll_swap_std,delta_nll_swap_median,dialects,tasks
thế nào,răn,Interrogatives,8,0.5159668922424316,0.345184611009316,0.4107364416122436,PNT4,"MCQA, QA"
gì,ren,Interrogatives,2,0.5126907825469971,0.41051839669102197,0.5126907825469971,PNT4,"MCQA, QA"
bây chừ,bi giờ,Negation/Function words,1,0.5124106407165527,,0.5124106407165527,PNT4,SENT
đấy thế nào,nớ như răng,Interrogatives,1,0.5121850967407227,,0.5121850967407227,PNT2,SENT
lâu lâu,thảng thảng,Predicate vocabulary,1,0.5115113258361816,,0.5115113258361816,PNN,SENT
trước tao,bựa tau,Pronouns,1,0.5097012519836426,,0.5097012519836426,PNT3,SENT
nào mẹ làm,mô mạ mần,Interrogatives,1,0.5093421936035156,,0.5093421936035156,PNT3,SENT
vì cậu không,tại lạo nỏ,Pronouns,1,0.5070662498474121,,0.5070662498474121,PNT2,MCQA
thế nào,ra ren,Interrogatives,1,0.504694938659668,,0.504694938659668,PNT4,QA
thế nào,như răng,Interrogatives,4,0.5034782886505127,0.1482853889465332,0.5776209831237793,"PNT1, PNT2, PNT3","QA, SENT"
làm như thế nào,mằn răng,Interrogatives,1,0.5032775402069092,,0.5032775402069092,PNT1,MCQA
gì đâu,cây chi mô,Interrogatives,1,0.5025186538696289,,0.5025186538696289,PNT2,SENT
sao cha,răng ba,Interrogatives,1,0.5019721984863281,,0.5019721984863281,PNT4,MCQA
không,nọ,Negation/Function words,5,0.5014979839324951,0.32897787834130454,0.5642752647399902,"PNT2, PNT3","MCQA, NLI, QA, SENT"
chúng tôi,tụi tui,Pronouns,5,0.5010393619537353,0.4028822788544413,0.4791803359985351,PNN,"MCQA, NLI, SENT"
nhỉ,ghê,Discourse particles,1,0.4998283386230469,,0.4998283386230469,PNN,SENT
vì mẹ bảo,tại má biểu,Kinship/Honorific terms,1,0.4988901615142822,,0.4988901615142822,PNN,MCQA
làm theo,mần dọi,Predicate vocabulary,1,0.4984524250030517,,0.4984524250030517,PNT3,MCQA
ấy,nứ,Demonstratives/Deixis,9,0.4968094560835097,0.19927308768088078,0.5151572227478027,PNT1,"MCQA, NLI, SENT"
giành,treng,Predicate vocabulary,1,0.4968075752258301,,0.4968075752258301,PNT3,NLI
vậy,ri,Demonstratives/Deixis,2,0.4961543083190918,0.32021287319763997,0.4961543083190918,"PNT2, PNT4","NLI, SENT"
làm gì,mần chi,Interrogatives,32,0.49498001486063004,0.30800875637722186,0.3697472810745239,"PNT1, PNT2, PNT3","MCQA, NLI, QA, SENT"
chăng nữa,nựa,Connectives/Aspect markers,1,0.492802619934082,,0.492802619934082,PNT3,SENT
vì,tại/do,Connectives/Aspect markers,4,0.492750883102417,0.0,0.492750883102417,PNT4,MCQA
người dân,bà con,Predicate vocabulary,1,0.4918537139892578,,0.4918537139892578,PNT2,NLI
nó,hén,Pronouns,5,0.4915632247924805,0.31681598017175616,0.5513570308685303,PNT4,"MCQA, NLI, QA, SENT"
nữa chứ,nựa chơ,Predicate vocabulary,1,0.491546630859375,,0.491546630859375,PNT2,SENT
xem những,coi mấy,Predicate vocabulary,1,0.4893620014190674,,0.4893620014190674,PNT3,NLI
sao,ren,Interrogatives,14,0.48926654883793425,0.38170118406160686,0.34203338623046875,PNT4,"MCQA, SENT"
này có vẻ ngoài,ni nhìn,Demonstratives/Deixis,1,0.4888291358947754,,0.4888291358947754,PNT4,NLI
thời gian,tỉ,Predicate vocabulary,1,0.4866504669189453,,0.4866504669189453,PNT3,SENT
hôm nay nó,bựa ni hấn,Demonstratives/Deixis,1,0.4855384826660156,,0.4855384826660156,PNT2,SENT
sợ hãi,tởn,Predicate vocabulary,1,0.4838557243347168,,0.4838557243347168,PNT3,NLI
nhỉ,hè,Discourse particles,6,0.4803030490875244,0.33234315744461834,0.4451422691345215,"PNT2, PNT3","MCQA, SENT"
nào,mô,Negation/Function words,31,0.47891841396208734,0.3639246832269682,0.3126811981201172,PNT1,"MCQA, NLI, QA, SENT"
sau đó bị,quá mấy nữa,Predicate vocabulary,1,0.4767079353332519,,0.4767079353332519,PNT2,SENT
sao không,răng nỏ,Interrogatives,1,0.4747376441955566,,0.4747376441955566,PNT2,MCQA
nào cũng,mô cụng,Interrogatives,2,0.4745948314666748,0.016443002890646152,0.4745948314666748,PNT3,SENT
đến tận rốn,thấu lộ tún,Predicate vocabulary,1,0.4734721183776855,,0.4734721183776855,PNT3,SENT
anh,eng,Kinship/Honorific terms,1,0.4726200103759765,,0.4726200103759765,PNT3,SENT
cậu trèo,nó leo,Pronouns,1,0.4716415405273437,,0.4716415405273437,PNN,MCQA
sao cha,răng bố,Interrogatives,1,0.466947078704834,,0.466947078704834,PNT1,MCQA
đấy,nớ,Demonstratives/Deixis,3,0.4665043354034424,0.29752658106350544,0.4392104148864746,"PNT2, PNT4",SENT
mặc,bận,Predicate vocabulary,1,0.4630060195922851,,0.4630060195922851,PNN,NLI
nhiều,nhóc,Predicate vocabulary,1,0.4629812240600586,,0.4629812240600586,PNN,NLI
sao,răng,Interrogatives,60,0.46275073687235513,0.28364356283635767,0.361579418182373,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, SENT"
chứ nó,chơ hấn,Predicate vocabulary,1,0.4625473022460937,,0.4625473022460937,PNT2,SENT
mỏi gì,mõi chi,Interrogatives,1,0.4611353874206543,,0.4611353874206543,PNT1,NLI
nó làm gì,hấn mần chi,Interrogatives,1,0.4605050086975097,,0.4605050086975097,PNT2,MCQA
nó không,hắn nỏ,Pronouns,1,0.4530096054077148,,0.4530096054077148,PNT3,SENT
vấn đề,vụ,Predicate vocabulary,1,0.4523756504058838,,0.4523756504058838,PNN,QA
ném vào,quăng vô,Predicate vocabulary,1,0.4516777992248535,,0.4516777992248535,PNN,SENT
việc gì,chuyện chi,Interrogatives,2,0.45005083084106445,0.41165804747475654,0.45005083084106445,PNT4,"MCQA, QA"
phải,tính,Predicate vocabulary,1,0.4475154876708984,,0.4475154876708984,PNN,SENT
hả,à,Discourse particles,2,0.4455876350402832,0.0,0.4455876350402832,"PNB, PNT3",SENT
giờ đây chúng ta,chừ bọn miềng,Pronouns,1,0.4427685737609863,,0.4427685737609863,PNT3,SENT
là gì,cái chi,Interrogatives,1,0.4405055046081543,,0.4405055046081543,PNT2,QA
như vậy,rứa,Demonstratives/Deixis,1,0.4387810230255127,,0.4387810230255127,PNT3,NLI
cha mẹ,ba má,Kinship/Honorific terms,2,0.4357149600982666,0.037717383319793116,0.4357149600982666,PNN,SENT
ư,à,Discourse particles,1,0.435605525970459,,0.435605525970459,PNT3,SENT
đã,đạ,Connectives/Aspect markers,63,0.4348730965266152,0.23953283483084842,0.3799061775207519,"PNT2, PNT3","MCQA, NLI, QA, SENT"
bao giờ bảo,hồi mô sai,Interrogatives,1,0.4329588413238525,,0.4329588413238525,PNT4,MCQA
làm gì,mằn chi,Interrogatives,11,0.43179223754189233,0.16061495213783306,0.4209368228912353,PNT1,"MCQA, SENT"
tới,ni,Demonstratives/Deixis,1,0.4281151294708252,,0.4281151294708252,PNT3,NLI
lớn,to,Predicate vocabulary,3,0.4276285171508789,0.0,0.4276285171508789,"PNT2, PNT3, PNT4",MCQA
họ,bọn nớ,Pronouns,4,0.427201509475708,0.0,0.427201509475708,PNT2,MCQA
do mẹ,tại má,Kinship/Honorific terms,1,0.4268021583557129,,0.4268021583557129,PNN,SENT
tại sao,vì răng mà,Interrogatives,1,0.4267382621765136,,0.4267382621765136,PNT2,MCQA
thể sẽ,khi đã,Connectives/Aspect markers,1,0.4265632629394531,,0.4265632629394531,PNT3,NLI
đã làm gì,đạ mần chi,Interrogatives,12,0.424921711285909,0.10681041547104791,0.3971796035766601,"PNT2, PNT3","MCQA, QA"
khiến các,làm mấy,Predicate vocabulary,1,0.4248785972595215,,0.4248785972595215,PNN,NLI
tôi không,tui hông,Pronouns,3,0.423581600189209,0.23211640063906291,0.5103659629821777,PNN,"MCQA, NLI"
như thế nào,ni,Demonstratives/Deixis,1,0.4233303070068359,,0.4233303070068359,PNT2,SENT
mình,tau,Pronouns,7,0.42133467538016184,0.2587007446562473,0.45709228515625,"PNT1, PNT2, PNT3",SENT
giúp mẹ một số công,phụ má mấy,Kinship/Honorific terms,1,0.4165520668029785,,0.4165520668029785,PNT4,MCQA
một thời gian,mấy bữa,Predicate vocabulary,1,0.4158935546875,,0.4158935546875,PNT4,SENT
vào các,vô mấy,Connectives/Aspect markers,1,0.4152369499206543,,0.4152369499206543,PNT4,QA
tao đã,tau đạ,Pronouns,1,0.4141101837158203,,0.4141101837158203,PNT2,SENT
hôm tao,bựa tau,Pronouns,2,0.4133472442626953,0.0,0.4133472442626953,"PNT2, PNT3",SENT
rất,ràng,Predicate vocabulary,1,0.412961483001709,,0.412961483001709,PNT2,NLI
vì mẹ,tại má,Kinship/Honorific terms,2,0.4126167297363281,0.0,0.4126167297363281,PNN,MCQA
rất,rành,Predicate vocabulary,1,0.4114131927490234,,0.4114131927490234,PNT2,NLI
vì nguyên nhân,tại lí do,Predicate vocabulary,1,0.4086220264434814,,0.4086220264434814,PNN,QA
vì,do,Connectives/Aspect markers,1,0.408588171005249,,0.408588171005249,PNT4,QA
này,ri,Demonstratives/Deixis,1,0.4082269668579101,,0.4082269668579101,PNT3,SENT
như thế nào,ren,Interrogatives,3,0.4080875714619954,0.15721569871292598,0.342940092086792,PNT4,"MCQA, SENT"
lúc đó,hồi nớ,Demonstratives/Deixis,1,0.4079053401947021,,0.4079053401947021,PNT4,NLI
mẹ,mạ,Kinship/Honorific terms,5,0.40770974159240714,0.43590951066918676,0.2923300266265869,PNT3,"MCQA, NLI, SENT"
cuộc,vụ,Predicate vocabulary,1,0.4072420597076416,,0.4072420597076416,PNN,QA
những gì,mấy chuyện,Predicate vocabulary,1,0.4072108268737793,,0.4072108268737793,PNN,NLI
này,ni,Demonstratives/Deixis,108,0.40718539776625456,0.30987589128931464,0.3331222534179687,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
nơi,chộ,Predicate vocabulary,1,0.4064226150512695,,0.4064226150512695,PNT2,NLI
lớn lên,nậy,Predicate vocabulary,1,0.4059567451477051,,0.4059567451477051,PNT3,SENT
này,nớ,Demonstratives/Deixis,1,0.404841661453247,,0.404841661453247,PNT4,SENT
trong tương lai,sau này,Predicate vocabulary,1,0.4042544364929199,,0.4042544364929199,PNN,NLI
vì cậu suốt ngày,tại nó cứ,Predicate vocabulary,2,0.403132677078247,0.0,0.403132677078247,PNN,MCQA
họ,bọn hấn,Pronouns,4,0.4028971195220947,0.0,0.4028971195220947,PNT1,MCQA
những việc đó,mấy chuyện nớ,Demonstratives/Deixis,1,0.4007325172424316,,0.4007325172424316,PNT4,NLI
hối hả,quíu,Predicate vocabulary,1,0.4003431797027588,,0.4003431797027588,PNT4,MCQA
bố mình,bọ tau,Kinship/Honorific terms,2,0.4002642631530761,0.0,0.4002642631530761,PNT3,SENT
chứ mình không,chơ miềng nỏ,Pronouns,1,0.399667739868164,,0.399667739868164,PNT3,SENT
lập tức,luôn,Predicate vocabulary,1,0.3970315456390381,,0.3970315456390381,PNT1,NLI
những việc,mấy vụ,Negation/Function words,1,0.3946294784545898,,0.3946294784545898,PNN,NLI
cậu,cu nớ,Pronouns,1,0.3942584991455078,,0.3942584991455078,PNT3,NLI
cô gái cưới,cổ lấy,Pronouns,1,0.3940129280090332,,0.3940129280090332,PNN,NLI
mẹ kia,mệ nớ,Pronouns,1,0.3936038017272949,,0.3936038017272949,PNT2,SENT
này vào,ni vô,Demonstratives/Deixis,4,0.3930976390838623,0.1345717772645602,0.3930976390838623,"PNT2, PNT3, PNT4",SENT
lặp,làm,Predicate vocabulary,1,0.3928186893463135,,0.3928186893463135,PNN,NLI
như thế nào,in răng,Interrogatives,1,0.3915643692016601,,0.3915643692016601,PNT3,SENT
tại sao,vì răng,Interrogatives,1,0.3888418674468994,,0.3888418674468994,PNT3,MCQA
ghen tị,phân bì,Predicate vocabulary,1,0.3887214660644531,,0.3887214660644531,PNN,MCQA
nên,bưa,Connectives/Aspect markers,1,0.3884768486022949,,0.3884768486022949,PNT3,NLI
và các,với mấy,Connectives/Aspect markers,4,0.38696157932281494,0.056464315193012975,0.38696157932281494,"PNN, PNT4",NLI
bà đã tuyên bố,lạo xưng,Kinship/Honorific terms,1,0.3867959976196289,,0.3867959976196289,PNT3,QA
thế,di,Demonstratives/Deixis,1,0.3862688541412353,,0.3862688541412353,PNT1,SENT
đó vậy,nớ rứa,Demonstratives/Deixis,1,0.3840632438659668,,0.3840632438659668,PNT2,SENT
lão vào,già vô,Predicate vocabulary,1,0.383455753326416,,0.383455753326416,PNT4,MCQA
vì cậu,tại nó,Predicate vocabulary,1,0.3834366798400879,,0.3834366798400879,PNN,MCQA
xấu hổ,ồng ngai,Predicate vocabulary,1,0.3832497596740722,,0.3832497596740722,PNT3,MCQA
tao vậy,tau rứa,Pronouns,1,0.3829050064086914,,0.3829050064086914,PNT2,SENT
đã làm như thế nào,đạ mần a răng,Interrogatives,1,0.382317304611206,,0.382317304611206,PNT2,MCQA
bé nhỏ,dỏ,Predicate vocabulary,1,0.3814051151275635,,0.3814051151275635,PNT3,MCQA
bà mong mình,mệ trông mềng,Pronouns,3,0.3798699378967285,0.0,0.3798699378967285,PNT3,MCQA
điều gì,cấy chi,Interrogatives,4,0.3777106404304504,0.20611345683914967,0.3753697872161865,"PNT2, PNT3","MCQA, NLI, QA"
nếu tôi,tau mà,Pronouns,1,0.3765039443969726,,0.3765039443969726,PNT3,SENT
bởi,tại,Connectives/Aspect markers,2,0.3763685226440429,0.0,0.3763685226440429,"PNN, PNT4",NLI
bát nào,chén mô,Interrogatives,4,0.375356912612915,0.0,0.375356912612915,PNT3,MCQA
cùng cậu,với cu nớ,Demonstratives/Deixis,1,0.3752717971801758,,0.3752717971801758,PNT2,NLI
đấy,nứ,Demonstratives/Deixis,1,0.3744950294494629,,0.3744950294494629,PNT1,SENT
nào khác,mô nữa,Interrogatives,1,0.3742654323577881,,0.3742654323577881,PNT4,MCQA
gái mình,cấy mềng,Pronouns,1,0.3732714653015136,,0.3732714653015136,PNT3,SENT
nghĩ tới,nhờ tời,Predicate vocabulary,1,0.3729326725006103,,0.3729326725006103,PNT3,MCQA
gì,cấy chi,Interrogatives,6,0.3727108637491862,0.27350386674385946,0.2840921878814697,"PNT1, PNT3","MCQA, QA, SENT"
nào cho ta,mô làm miềng,Interrogatives,1,0.3707509040832519,,0.3707509040832519,PNT3,MCQA
như thế nào,răng,Interrogatives,9,0.3704751862419976,0.2639317337768552,0.2371835708618164,"PNT1, PNT4","MCQA, QA, SENT"
các,mấy cái,Negation/Function words,3,0.36827826499938965,0.08170793517055559,0.3298683166503906,"PNN, PNT3","NLI, QA"
giai đoạn này,đợt ni,Demonstratives/Deixis,1,0.3674774169921875,,0.3674774169921875,PNT4,NLI
ông đến,ổng tới,Kinship/Honorific terms,1,0.3665049076080322,,0.3665049076080322,PNN,QA
nó có vị trí,hén nằm,Predicate vocabulary,1,0.3660216331481933,,0.3660216331481933,PNT4,QA
sao này,sau ni,Demonstratives/Deixis,2,0.366002082824707,0.0,0.366002082824707,"PNT2, PNT4",SENT
xem,răng,Interrogatives,1,0.3655834197998047,,0.3655834197998047,PNT3,SENT
khi không,lúc hông,Negation/Function words,1,0.3655152320861816,,0.3655152320861816,PNN,QA
gia đình,nhà,Predicate vocabulary,1,0.365056037902832,,0.365056037902832,PNT2,QA
làm việc,mần,Predicate vocabulary,1,0.3648886680603027,,0.3648886680603027,PNT2,NLI
ấy,ni,Demonstratives/Deixis,1,0.3622848987579345,,0.3622848987579345,PNT2,SENT
không,xó,Negation/Function words,1,0.3622345924377441,,0.3622345924377441,PNN,SENT
tao,tau,Pronouns,75,0.3620332018534342,0.27167544892824347,0.2846937179565429,"PNT1, PNT2, PNT3",SENT
m,mi,Pronouns,1,0.3617382049560547,,0.3617382049560547,PNT1,SENT
đó,nứ,Demonstratives/Deixis,3,0.36152346928914386,0.21614274433442934,0.3201546669006347,PNT1,"NLI, SENT"
cái này vào,cấy ni vô,Demonstratives/Deixis,1,0.360288143157959,,0.360288143157959,PNT2,SENT
một số,mấy,Negation/Function words,3,0.3601924578348796,0.02691325424466545,0.3446540832519531,"PNN, PNT4","NLI, QA"
ngay lập tức,liền,Predicate vocabulary,2,0.3599436283111572,0.0,0.3599436283111572,"PNN, PNT3",NLI
vì,tại cái,Connectives/Aspect markers,1,0.3593668937683105,,0.3593668937683105,PNN,MCQA
như thế nào đến,ra sao tới,Interrogatives,1,0.3586907386779785,,0.3586907386779785,PNN,QA
chứ làm gì,chơ mần chi,Interrogatives,1,0.3586130142211914,,0.3586130142211914,PNT2,SENT
chàng lười,ảnh làm biếng mà,Idiomatic expressions,3,0.3571043014526367,0.0,0.3571043014526367,PNN,MCQA
thế này,như ri,Demonstratives/Deixis,4,0.3557093143463135,0.02243794393051248,0.3557093143463135,"PNT2, PNT3, PNT4",SENT
thật đấy,vải luôn ấy,Idiomatic expressions,1,0.3542213439941406,,0.3542213439941406,PNT1,SENT
bạn nhỏ,thằng cu,Kinship/Honorific terms,5,0.353771448135376,0.0,0.353771448135376,PNT4,MCQA
vào,vô,Connectives/Aspect markers,180,0.3535396509700351,0.25504660166216503,0.265578031539917,"PNN, PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
đâu,mô,Negation/Function words,5,0.3524279594421386,0.21085572435280756,0.4488697052001953,PNT1,"MCQA, NLI, QA"
không,hhông,Negation/Function words,2,0.3504350185394287,0.22630598579269912,0.3504350185394287,PNN,"NLI, SENT"
chúng tôi đã,choa đạ,Pronouns,1,0.3499341011047363,,0.3499341011047363,PNT2,MCQA
sử dụng,xài,Predicate vocabulary,1,0.3496379852294922,,0.3496379852294922,PNN,QA
nó,răng a hấn,Pronouns,1,0.3492743968963623,,0.3492743968963623,PNT2,MCQA
những gì,mấy cái,Predicate vocabulary,2,0.3488445281982422,0.012213482348880917,0.3488445281982422,PNN,NLI
vì cậu không,tại nó hông,Negation/Function words,1,0.3478591442108154,,0.3478591442108154,PNN,MCQA
không,nỏ,Negation/Function words,135,0.34732654006392866,0.23389673797088584,0.2922811508178711,"PNT1, PNT2, PNT3","MCQA, NLI, QA, SENT"
bố quát,ba nộ,Kinship/Honorific terms,1,0.346165657043457,,0.346165657043457,PNT4,SENT
này cơ cực thật đấy,ni khổ kinh,Demonstratives/Deixis,1,0.3458704948425293,,0.3458704948425293,PNT1,SENT
đánh,uýnh,Predicate vocabulary,1,0.3440799713134765,,0.3440799713134765,PNN,SENT
hôm nay,bữa ni,Demonstratives/Deixis,3,0.3431074619293213,0.0,0.3431074619293213,"PNT2, PNT3, PNT4",MCQA
gái,cấy,Negation/Function words,3,0.3426041603088379,0.25954547337401246,0.2944440841674804,PNT3,"MCQA, NLI, SENT"
tại đâu,chỗ mô,Interrogatives,1,0.3422508239746094,,0.3422508239746094,PNT3,QA
mẹ tao xưa,mạ tau hồi ơ,Pronouns,1,0.3420538902282715,,0.3420538902282715,PNT3,SENT
rất to,bự chảng,Predicate vocabulary,1,0.3411431312561035,,0.3411431312561035,PNN,NLI
nào vào,chi ở,Interrogatives,1,0.3394949436187744,,0.3394949436187744,PNT4,QA
tiêm,chích,Predicate vocabulary,1,0.3390147686004638,,0.3390147686004638,PNN,NLI
chứ làm gì,cho rồi chơ mần chi,Interrogatives,1,0.3390140533447265,,0.3390140533447265,PNT3,SENT
lâu mới,mì,Connectives/Aspect markers,1,0.3388042449951172,,0.3388042449951172,PNT3,SENT
đó chẳng,nớ nỏ,Demonstratives/Deixis,2,0.3367512226104736,0.0,0.3367512226104736,"PNT2, PNT3",MCQA
cũng đều,cụng,Negation/Function words,1,0.3366570472717285,,0.3366570472717285,PNT2,NLI
chàng trai,anh nớ,Idiomatic expressions,1,0.3363161087036133,,0.3363161087036133,PNT3,NLI
thế nhỉ,rứa hè,Idiomatic expressions,1,0.3362021446228027,,0.3362021446228027,PNT3,SENT
bố vào thời điểm nào,ba khi mô,Kinship/Honorific terms,1,0.3351161479949951,,0.3351161479949951,PNT3,MCQA
bố mình,ba tui,Pronouns,2,0.3339829444885254,0.0,0.3339829444885254,PNN,SENT
tao không,tau nỏ,Pronouns,3,0.3328705628712972,0.02038680592020264,0.3211002349853515,"PNT2, PNT3",SENT
gì cái,chi cây,Interrogatives,1,0.3326287269592285,,0.3326287269592285,PNT2,SENT
rất,đại,Predicate vocabulary,2,0.3316903114318848,0.5165268244151987,0.3316903114318848,PNT3,"NLI, SENT"
thế nào khi,ra sao lúc,Predicate vocabulary,1,0.3314898014068603,,0.3314898014068603,PNN,QA
vợ chồng,cấy dông,Kinship/Honorific terms,2,0.3307640552520752,0.0,0.3307640552520752,PNT3,MCQA
và,lẫn,Connectives/Aspect markers,1,0.3299448490142822,,0.3299448490142822,PNT1,MCQA
nè,nì,Discourse particles,1,0.3294491767883301,,0.3294491767883301,PNT3,SENT
làm tao sợ chetme,mần tau hại chetma,Idiomatic expressions,1,0.3283815383911133,,0.3283815383911133,PNT3,SENT
hoảng hốt,quýnh quáng,Predicate vocabulary,1,0.3267052173614502,,0.3267052173614502,PNN,MCQA
cãi lộn mệt,cại chắc dọc,Predicate vocabulary,1,0.3265347480773926,,0.3265347480773926,PNT3,SENT
này như thế nào,ni ra ren,Interrogatives,1,0.3261363506317138,,0.3261363506317138,PNT4,MCQA
cậu không thích,hắn nỏ ưng,Pronouns,1,0.325756311416626,,0.325756311416626,PNT3,MCQA
thế kia không,rứa nỏ,Demonstratives/Deixis,1,0.3247904777526855,,0.3247904777526855,PNT2,SENT
thành công,được,Predicate vocabulary,1,0.3232631683349609,,0.3232631683349609,PNB,NLI
vậy,rứ,Demonstratives/Deixis,2,0.3230156898498535,0.0,0.3230156898498535,PNT1,MCQA
gái cưới,nớ lấy,Predicate vocabulary,1,0.3223795890808105,,0.3223795890808105,PNT4,NLI
đó,nớ,Demonstratives/Deixis,40,0.3209309577941894,0.23006818129315165,0.2281911373138427,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
nó,hấn,Pronouns,37,0.3203738315685375,0.25131814364571503,0.2902164459228515,"PNT1, PNT2, PNT3","NLI, QA, SENT"
chúng mày,tụi bây,Pronouns,2,0.3195524215698242,0.07366864509958578,0.3195524215698242,PNT4,SENT
gì,chi rứa,Interrogatives,1,0.3194513320922851,,0.3194513320922851,PNT3,QA
điều gì,cây chi,Interrogatives,1,0.3184018135070801,,0.3184018135070801,PNT2,MCQA
này cơ,ni,Demonstratives/Deixis,1,0.3158688545227051,,0.3158688545227051,PNT3,SENT
này như thế nào,ni a răng,Interrogatives,1,0.3158447742462158,,0.3158447742462158,PNT2,MCQA
cái,kì,Negation/Function words,12,0.31542581319808954,0.20196113872060958,0.25093531608581543,PNT3,"MCQA, NLI, SENT"
bố mẹ chửi mắng,bọ mạ chưởi,Kinship/Honorific terms,1,0.314795970916748,,0.314795970916748,PNT3,SENT
mày phì đâu,mi béo mô,Interrogatives,1,0.3146905899047851,,0.3146905899047851,PNT1,SENT
sao bắt nhanh thế,răng tóm lẹ rứa,Interrogatives,1,0.3138957023620605,,0.3138957023620605,PNT3,SENT
đã,nớ đạ,Connectives/Aspect markers,1,0.3136758804321289,,0.3136758804321289,PNT2,MCQA
nhìn thấy,chộ,Predicate vocabulary,5,0.3121484756469727,0.13026814364912065,0.401914119720459,"PNT2, PNT3","MCQA, SENT"
đó dắt,nớ đắc,Demonstratives/Deixis,1,0.3120231628417969,,0.3120231628417969,PNT3,SENT
hôm nó,bữa hấn,Demonstratives/Deixis,1,0.3117332458496094,,0.3117332458496094,PNT2,SENT
chút nhưng,tí đều,Predicate vocabulary,1,0.3114848136901855,,0.3114848136901855,PNT3,SENT
đó cha,nớ ba,Demonstratives/Deixis,1,0.3111491203308105,,0.3111491203308105,PNT4,SENT
như vậy,in rứa,Demonstratives/Deixis,1,0.310976505279541,,0.310976505279541,PNT3,NLI
này,ni ak,Demonstratives/Deixis,1,0.3108000755310058,,0.3108000755310058,PNT4,SENT
cũng không thấy,cụng nỏ chộ,Negation/Function words,1,0.3104219436645508,,0.3104219436645508,PNT2,SENT
đâu,mô,Interrogatives,5,0.3103545188903808,0.20776649958429366,0.2385025024414062,PNT4,"MCQA, QA, SENT"
cùng bố,với bọ,Kinship/Honorific terms,1,0.309427261352539,,0.309427261352539,PNT3,MCQA
vì bố,tại ba,Kinship/Honorific terms,1,0.3084402084350586,,0.3084402084350586,PNN,MCQA
mệt mỏi,oải,Predicate vocabulary,1,0.3081569671630859,,0.3081569671630859,PNN,NLI
gì,chi,Interrogatives,264,0.3078872913664037,0.21511896224266547,0.23835921287536616,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
thấy những,chộ mấy,Predicate vocabulary,1,0.3076784610748291,,0.3076784610748291,PNT3,MCQA
nhưng,chơ đều,Connectives/Aspect markers,1,0.3076674938201904,,0.3076674938201904,PNT3,SENT
cho,chua,Predicate vocabulary,17,0.3060186750748578,0.23759343580418787,0.220362901687622,PNT1,"MCQA, NLI, QA, SENT"
bố điều gì,bọ cấy chi,Kinship/Honorific terms,1,0.305795669555664,,0.305795669555664,PNT3,MCQA
sẽ nói cho,sĩa nuối choa,Pronouns,1,0.3057484626770019,,0.3057484626770019,PNT1,MCQA
bao giờ,hồi mô,Interrogatives,1,0.3055253028869629,,0.3055253028869629,PNT4,MCQA
đỗ lùi,đậu xích,Predicate vocabulary,1,0.3052539825439453,,0.3052539825439453,PNT4,SENT
mẩu,méng,Predicate vocabulary,2,0.3047661781311035,0.0,0.3047661781311035,PNT3,MCQA
thấy,chộ,Predicate vocabulary,6,0.30417545636494947,0.1298072605454108,0.2726798057556152,"PNT2, PNT3","MCQA, SENT"
nữa chắc,nựa e,Predicate vocabulary,1,0.3030214309692383,,0.3030214309692383,PNT3,SENT
nào,chi,Interrogatives,6,0.30201737085978186,0.23481464823855086,0.1825991868972778,"PNT1, PNT2, PNT3, PNT4","MCQA, QA, SENT"
không chơi,nỏ dởi,Negation/Function words,1,0.301891565322876,,0.301891565322876,PNT3,MCQA
bẩn,bửn,Predicate vocabulary,1,0.3018717765808105,,0.3018717765808105,PNT1,MCQA
số,phần,Predicate vocabulary,1,0.3014802932739258,,0.3014802932739258,PNN,NLI
mang thai,có chửa,Predicate vocabulary,1,0.3012123107910156,,0.3012123107910156,PNN,NLI
rừng,rú,Predicate vocabulary,1,0.3006176948547363,,0.3006176948547363,PNT3,MCQA
mọi,hết thảy,Negation/Function words,1,0.3004076480865478,,0.3004076480865478,PNN,NLI
khiến,mần,Predicate vocabulary,4,0.3001176714897156,0.3021530411662559,0.1913826465606689,"PNT2, PNT3","MCQA, QA"
mình,mà tau,Pronouns,1,0.2978096008300781,,0.2978096008300781,PNT3,SENT
ấy giờ,nớ chừ,Demonstratives/Deixis,1,0.2971467971801758,,0.2971467971801758,PNT3,SENT
cho,choa,Pronouns,4,0.2959558963775635,0.07666540145874025,0.3342885971069336,PNT1,MCQA
làm gì,mắc chi,Predicate vocabulary,1,0.2958822250366211,,0.2958822250366211,PNT4,SENT
tại thời điểm,lúc,Connectives/Aspect markers,1,0.2958626747131347,,0.2958626747131347,PNN,NLI
tôi,tui,Pronouns,21,0.29563186282203313,0.32548981565445045,0.0735602378845214,"PNN, PNT2, PNT4","MCQA, NLI, SENT"
hôm nó gặm,bựa hắn cắm,Pronouns,1,0.2950410842895508,,0.2950410842895508,PNT3,SENT
khi nào,lúc mô,Interrogatives,1,0.2945592403411865,,0.2945592403411865,PNT4,MCQA
chú,kì con,Kinship/Honorific terms,1,0.2943482398986816,,0.2943482398986816,PNT3,NLI
